,intent_loss,intent_acc,set
0,4.829481096015663,0.06564364879561202,train
1,4.3440656661987305,0.0,valid
2,2.726526931525293,0.3648763857432542,train
3,2.7740352153778076,0.2631579041481018,valid
4,1.32803379401933,0.8005115090530344,train
5,2.0810530185699463,0.4035087823867798,valid
6,0.5394369633098189,0.9437340153960824,train
7,1.8006542921066284,0.5438596606254578,valid
8,0.25708324232877877,0.9829497017722199,train
9,1.6155537366867065,0.5789473652839661,valid
10,0.14010937490325043,0.9940323955669225,train
11,1.7008075714111328,0.5964912176132202,valid
12,0.0938085964471991,0.9948849104859335,train
13,1.6724417209625244,0.5964912176132202,valid
14,0.06485779312870386,1.0,train
15,1.6331982612609863,0.6140350699424744,valid
16,0.04530782585698422,1.0,train
17,1.7226536273956299,0.5964912176132202,valid
18,0.0383736743494068,0.9982949701619779,train
19,1.7148467302322388,0.5964912176132202,valid
20,0.029409353102843983,1.0,train
21,1.5468676090240479,0.6315789222717285,valid
22,0.02334804057388964,1.0,train
23,1.5275335311889648,0.6315789222717285,valid
24,0.01964879154091906,1.0,train
25,1.636111855506897,0.6315789222717285,valid
26,0.01731779569091445,1.0,train
27,1.5742448568344116,0.6666666865348816,valid
28,0.015348537304999984,1.0,train
29,1.564975619316101,0.6666666865348816,valid
30,0.013781129248370397,1.0,train
31,1.54945969581604,0.6666666865348816,valid
32,0.011416688086647614,1.0,train
33,1.5571821928024292,0.6666666865348816,valid
34,0.010509073900222423,1.0,train
35,1.6868687868118286,0.6666666865348816,valid
36,0.009641400180306074,1.0,train
37,1.6970375776290894,0.6842105388641357,valid
38,0.008627294573872544,0.9991474850809889,train
39,1.557603120803833,0.6842105388641357,valid
40,1.5576030015945435,0.6842105388641357,valid
