,intent_loss,intent_acc,set
0,0.8751200977010876,0.7574166912766763,train
1,0.04622091429214095,0.983679525222552,valid
2,0.36220846748464547,0.8815688587964653,train
3,0.011913165503985716,0.9985163204747775,valid
4,0.2573464790941937,0.9108522560244217,train
5,0.006867011502600698,0.9970326409495549,valid
6,0.20368239867347984,0.9265703332104257,train
7,0.0052002799284066835,0.9985163204747775,valid
8,0.17961767534086817,0.9326747271945012,train
9,0.004194483206053306,0.9985163204747775,valid
10,0.16210843682359433,0.9382188145019634,train
11,0.005248710028454109,0.9985163204747775,valid
12,0.1502276392065294,0.9419640224649997,train
13,0.003723180612054507,0.9985163204747775,valid
14,0.14225776953108013,0.94541433204841,train
15,0.0007436402830003708,1.0,valid
16,0.1342866422811183,0.9480684163893124,train
17,0.0010056226822245005,1.0,valid
18,0.13481493843090425,0.9484222942838554,train
19,0.002489360751270162,0.9985163204747775,valid
20,0.002981074309136818,0.9985163204747775,valid
