,intent_loss,intent_acc,set
0,1.9219335958975263,0.5981895243795318,train
1,0.5157445034673137,0.851612905533083,valid
2,0.6235491348382074,0.849039820011429,train
3,0.10948410399498477,0.9806451612903225,valid
4,0.420133096008696,0.8959761394055159,train
5,0.053827667284396384,0.9870967741935484,valid
6,0.3250633378251806,0.9190518549588828,train
7,0.035559713768382226,1.0,valid
8,0.267798687613782,0.9295170320851245,train
9,0.024435646315255473,0.9935483870967742,valid
10,0.2351601367278227,0.939511276231469,train
11,0.013696522830474761,1.0,valid
12,0.21927148690528594,0.9422845481753344,train
13,0.01017354227332098,1.0,valid
14,0.2014304269644175,0.9444822353680712,train
15,0.011145500958927216,1.0,valid
16,0.18352590583100697,0.951022971070023,train
17,0.006378346137822636,1.0,valid
18,0.1705220353861605,0.9540055465501129,train
19,0.02686291656967613,0.9935483870967742,valid
20,0.16565200952338086,0.9554706713473502,train
21,0.011918786273247772,1.0,valid
22,0.1552452616676993,0.9571450996839309,train
23,0.006527494585081455,1.0,valid
24,0.1469020352284492,0.9584009209387057,train
25,0.02574478730319008,0.9870967741935484,valid
26,0.13622847156750525,0.9641044424676888,train
27,0.03598695762695805,0.9870967715017257,valid
28,0.12948844533227102,0.9632672283103144,train
29,0.014546412813116706,0.9935483870967742,valid
30,0.12851872639697923,0.9653079378399667,train
31,0.06185170758267745,0.9870967741935484,valid
32,0.13587749722716785,0.9624300141373457,train
33,0.01852250252099287,0.9935483870967742,valid
34,0.12048739964684052,0.9661451520129355,train
35,0.03334863418713212,0.9870967741935484,valid
36,0.12217406852097824,0.9655172413793104,train
37,0.006366566625694113,1.0,valid
38,0.11081969323626281,0.9682905133200568,train
39,0.006159908507740305,1.0,valid
40,0.00671624519651936,1.0,valid
